Method,Channel,Mean,Std,Min,Max,gt3_%
Affine Default,Mcdm,0.1713,0.8577,-2.15,7.33,0.98
Affine Default,Mgas,0.1098,0.7884,-2.21,6.24,0.30
Affine Default,T,0.0156,1.0120,-1.23,4.13,0.18
Affine Squeezed,Mcdm,0.1529,0.7658,-1.92,6.54,0.59
Affine Squeezed,Mgas,0.1098,0.7884,-2.21,6.24,0.30
Affine Squeezed,T,0.0156,1.0120,-1.23,4.13,0.18
Robust IQR,Mcdm,0.1562,0.8615,-2.17,7.35,0.98
Robust IQR,Mgas,0.1093,0.7905,-2.22,6.26,0.30
Robust IQR,T,0.2627,0.6508,-0.54,2.91,0.00
Softclip,Mcdm,0.1551,0.8039,-2.00,4.17,0.40
Softclip,Mgas,0.1098,0.7884,-2.21,6.24,0.30
Softclip,T,0.0156,1.0120,-1.23,4.13,0.18
MinMax 0~1,Mcdm,0.2448,0.0905,0.00,1.00,0.00
MinMax 0~1,Mgas,0.2747,0.0932,0.00,1.00,0.00
MinMax 0~1,T,0.2349,0.1861,0.01,0.99,0.00
Z-Score,Mcdm,0.0000,1.0000,-2.70,8.35,1.40
Z-Score,Mgas,-0.0000,1.0000,-2.95,7.78,0.86
Z-Score,T,0.0000,1.0000,-1.23,4.06,0.15
